cluster_name,target_mode,passengers_count,up_down,line_direction,timelaps,goal,line
FOCH - FERRIE,En voiture garée à proximité,8.073479924499999,down,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,En voiture garée à proximité,18.2110565796,down,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,En voiture garée à proximité,7.1749305389,down,ALL,ALL,ALL,tram-c
VALLIER - CATANE,En voiture garée à proximité,22.2782694693,down,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,En voiture garée à proximité,39.4453514574,down,ALL,ALL,ALL,tram-c
FAUCONNIERE,En voiture garée à proximité,102.7374076986,down,ALL,ALL,ALL,tram-c
GRAND PRE,En voiture garée à proximité,24.659124948299997,down,ALL,ALL,ALL,tram-c
MAS DES ILES,En voiture garée à proximité,19.0455334134,down,ALL,ALL,ALL,tram-c
LE PRISME,En voiture garée à proximité,84.29814212049997,down,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,En tram,89.8880866166,down,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,En tram,37.6102025344,down,ALL,ALL,ALL,tram-c
GABRIEL FAURE,En tram,115.12056115380001,down,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,En tram,0.0,down,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,En tram,235.46833690660006,down,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,En tram,0.0,down,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,En tram,0.0,down,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),En tram,0.0,down,ALL,ALL,ALL,tram-c
CHAVANT,En tram,3302.044767431563,down,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,En tram,0.0,down,ALL,ALL,ALL,tram-c
FOCH - FERRIE,En tram,0.0,down,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,En tram,1733.0634492726927,down,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,En tram,0.0,down,ALL,ALL,ALL,tram-c
VALLIER - CATANE,En tram,0.0,down,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,En tram,0.0,down,ALL,ALL,ALL,tram-c
FAUCONNIERE,En tram,0.0,down,ALL,ALL,ALL,tram-c
GRAND PRE,En tram,0.0,down,ALL,ALL,ALL,tram-c
MAS DES ILES,En tram,0.0,down,ALL,ALL,ALL,tram-c
LE PRISME,En tram,0.0,down,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,Déposé en voiture,10.167339239999999,down,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,Déposé en voiture,16.0737703768,down,ALL,ALL,ALL,tram-c
GABRIEL FAURE,Déposé en voiture,0.0,down,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,Déposé en voiture,8.9673499106,down,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,Déposé en voiture,15.989681579700001,down,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,Déposé en voiture,12.196264565100002,down,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,Déposé en voiture,42.557392015699996,down,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),Déposé en voiture,25.539285096799997,down,ALL,ALL,ALL,tram-c
CHAVANT,Déposé en voiture,34.389961804500004,down,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,Déposé en voiture,2.0792888232,down,ALL,ALL,ALL,tram-c
FOCH - FERRIE,Déposé en voiture,9.0453890117,down,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,Déposé en voiture,43.3436580809,down,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,Déposé en voiture,2.6117339954,down,ALL,ALL,ALL,tram-c
VALLIER - CATANE,Déposé en voiture,51.98594603370001,down,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,Déposé en voiture,70.1582640743,down,ALL,ALL,ALL,tram-c
FAUCONNIERE,Déposé en voiture,7.7208906826,down,ALL,ALL,ALL,tram-c
GRAND PRE,Déposé en voiture,0.0,down,ALL,ALL,ALL,tram-c
MAS DES ILES,Déposé en voiture,4.1317751291,down,ALL,ALL,ALL,tram-c
LE PRISME,Déposé en voiture,62.03639217009998,down,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,A pied,2112.728329660999,down,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,A pied,3854.2797198065923,down,ALL,ALL,ALL,tram-c
GABRIEL FAURE,A pied,2920.389662867901,down,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,A pied,1738.6729977207985,down,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,A pied,2405.6912778306073,down,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,A pied,1584.7441095717074,down,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,A pied,3085.120605968289,down,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),A pied,1739.7690903827956,down,ALL,ALL,ALL,tram-c
CHAVANT,A pied,3768.1952171600597,down,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,A pied,2322.3277492314073,down,ALL,ALL,ALL,tram-c
FOCH - FERRIE,A pied,4307.530549556915,down,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,A pied,4273.6138412044975,down,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,A pied,2210.950597401312,down,ALL,ALL,ALL,tram-c
VALLIER - CATANE,A pied,2296.3642983670193,down,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,A pied,1591.5208513503044,down,ALL,ALL,ALL,tram-c
FAUCONNIERE,A pied,1151.7826517382027,down,ALL,ALL,ALL,tram-c
GRAND PRE,A pied,543.8548530629,down,ALL,ALL,ALL,tram-c
MAS DES ILES,A pied,667.0574359442994,down,ALL,ALL,ALL,tram-c
LE PRISME,A pied,958.0362361233996,down,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,En train,11.2065158181,down,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,En train,2.1790781589,down,ALL,ALL,ALL,tram-c
GABRIEL FAURE,En train,0.0,down,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,En train,0.0,down,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,En train,0.0,down,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,En train,0.0,down,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,En train,0.0,down,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),En train,0.0,down,ALL,ALL,ALL,tram-c
CHAVANT,En train,0.0,down,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,En train,0.0,down,ALL,ALL,ALL,tram-c
FOCH - FERRIE,En train,0.0,down,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,En train,10.840741402199999,down,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,En train,0.0,down,ALL,ALL,ALL,tram-c
VALLIER - CATANE,En train,0.0,down,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,En train,0.0,down,ALL,ALL,ALL,tram-c
FAUCONNIERE,En train,0.0,down,ALL,ALL,ALL,tram-c
GRAND PRE,En train,0.0,down,ALL,ALL,ALL,tram-c
MAS DES ILES,En train,0.0,down,ALL,ALL,ALL,tram-c
LE PRISME,En train,0.0,down,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,En car Transisère,14.3150340453,down,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,En car Transisère,0.0,down,ALL,ALL,ALL,tram-c
GABRIEL FAURE,En car Transisère,0.0,down,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,En car Transisère,0.0,down,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,En car Transisère,0.0,down,ALL,ALL,ALL,tram-c
PERI - BROSSOLETTE,En car Transisère,0.0,down,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,En car Transisère,0.0,down,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),En car Transisère,0.0,down,ALL,ALL,ALL,tram-c
CHAVANT,En car Transisère,37.1438408463,down,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,En car Transisère,0.0,down,ALL,ALL,ALL,tram-c
FOCH - FERRIE,En car Transisère,0.0,down,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,En car Transisère,0.0,down,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,En car Transisère,0.0,down,ALL,ALL,ALL,tram-c
VALLIER - CATANE,En car Transisère,0.0,down,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,En car Transisère,0.0,down,ALL,ALL,ALL,tram-c
FAUCONNIERE,En car Transisère,0.0,down,ALL,ALL,ALL,tram-c
GRAND PRE,En car Transisère,0.0,down,ALL,ALL,ALL,tram-c
MAS DES ILES,En car Transisère,0.0,down,ALL,ALL,ALL,tram-c
LE PRISME,En car Transisère,0.0,down,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,En bus TAG,0.0,down,S1,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,En bus TAG,22.327213870699996,down,S1,ALL,ALL,tram-c
GABRIEL FAURE,En bus TAG,0.0,down,S1,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,En bus TAG,0.0,down,S1,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,En bus TAG,80.49461569990002,down,S1,ALL,ALL,tram-c
PERI - BROSSOLETTE,En bus TAG,0.0,down,S1,ALL,ALL,tram-c
FLANDRIN - VALMY,En bus TAG,87.8027676515,down,S1,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),En bus TAG,159.88075298520005,down,S1,ALL,ALL,tram-c
CHAVANT,En bus TAG,360.34616945350024,down,S1,ALL,ALL,tram-c
GUSTAVE RIVET,En bus TAG,77.3367140004,down,S1,ALL,ALL,tram-c
FOCH - FERRIE,En bus TAG,123.36031606059997,down,S1,ALL,ALL,tram-c
VALLIER - LIBERATION,En bus TAG,14.7594915776,down,S1,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,En bus TAG,27.4864517186,down,S1,ALL,ALL,tram-c
VALLIER - CATANE,En bus TAG,36.6597055151,down,S1,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,En bus TAG,40.179072462200004,down,S1,ALL,ALL,tram-c
FAUCONNIERE,En bus TAG,0.0,down,S1,ALL,ALL,tram-c
GRAND PRE,En bus TAG,0.0,down,S1,ALL,ALL,tram-c
MAS DES ILES,En bus TAG,0.0,down,S1,ALL,ALL,tram-c
LE PRISME,En bus TAG,0.0,down,S1,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,En voiture garée au parking relai,10.6840671189,down,S1,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,En voiture garée au parking relai,0.0,down,S1,ALL,ALL,tram-c
GABRIEL FAURE,En voiture garée au parking relai,3.164874591,down,S1,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,En voiture garée au parking relai,0.0,down,S1,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,En voiture garée au parking relai,0.0,down,S1,ALL,ALL,tram-c
PERI - BROSSOLETTE,En voiture garée au parking relai,0.0,down,S1,ALL,ALL,tram-c
FLANDRIN - VALMY,En voiture garée au parking relai,0.0,down,S1,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),En voiture garée au parking relai,0.0,down,S1,ALL,ALL,tram-c
CHAVANT,En voiture garée au parking relai,0.0,down,S1,ALL,ALL,tram-c
GUSTAVE RIVET,En voiture garée au parking relai,0.0,down,S1,ALL,ALL,tram-c
FOCH - FERRIE,En voiture garée au parking relai,0.0,down,S1,ALL,ALL,tram-c
VALLIER - LIBERATION,En voiture garée au parking relai,0.0,down,S1,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,En voiture garée au parking relai,0.0,down,S1,ALL,ALL,tram-c
VALLIER - CATANE,En voiture garée au parking relai,6.8501082204,down,S1,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,En voiture garée au parking relai,10.273379458099999,down,S1,ALL,ALL,tram-c
FAUCONNIERE,En voiture garée au parking relai,0.0,down,S1,ALL,ALL,tram-c
GRAND PRE,En voiture garée au parking relai,0.0,down,S1,ALL,ALL,tram-c
MAS DES ILES,En voiture garée au parking relai,0.0,down,S1,ALL,ALL,tram-c
LE PRISME,En voiture garée au parking relai,0.0,down,S1,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,En vélo,2.4841506839,down,S1,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,En vélo,8.6815431757,down,S1,ALL,ALL,tram-c
GABRIEL FAURE,En vélo,3.164874591,down,S1,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,En vélo,0.0,down,S1,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,En vélo,7.0202963257999995,down,S1,ALL,ALL,tram-c
PERI - BROSSOLETTE,En vélo,6.3437358289,down,S1,ALL,ALL,tram-c
FLANDRIN - VALMY,En vélo,2.8161935977,down,S1,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),En vélo,8.3490186441,down,S1,ALL,ALL,tram-c
CHAVANT,En vélo,8.8102866136,down,S1,ALL,ALL,tram-c
GUSTAVE RIVET,En vélo,0.0,down,S1,ALL,ALL,tram-c
FOCH - FERRIE,En vélo,0.0,down,S1,ALL,ALL,tram-c
VALLIER - LIBERATION,En vélo,16.856090804399997,down,S1,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,En vélo,0.0,down,S1,ALL,ALL,tram-c
VALLIER - CATANE,En vélo,0.0,down,S1,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,En vélo,10.1290027028,down,S1,ALL,ALL,tram-c
FAUCONNIERE,En vélo,4.9956069581,down,S1,ALL,ALL,tram-c
GRAND PRE,En vélo,0.0,down,S1,ALL,ALL,tram-c
MAS DES ILES,En vélo,0.0,down,S1,ALL,ALL,tram-c
LE PRISME,En vélo,0.0,down,S1,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,Mode non précisé,3.4700141667,down,S1,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,Mode non précisé,0.0,down,S1,ALL,ALL,tram-c
GABRIEL FAURE,Mode non précisé,0.0,down,S1,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,Mode non précisé,0.0,down,S1,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,Mode non précisé,3.8495524708,down,S1,ALL,ALL,tram-c
PERI - BROSSOLETTE,Mode non précisé,0.0,down,S1,ALL,ALL,tram-c
FLANDRIN - VALMY,Mode non précisé,3.1233453611,down,S1,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),Mode non précisé,0.0,down,S1,ALL,ALL,tram-c
CHAVANT,Mode non précisé,0.0,down,S1,ALL,ALL,tram-c
GUSTAVE RIVET,Mode non précisé,0.0,down,S1,ALL,ALL,tram-c
FOCH - FERRIE,Mode non précisé,0.0,down,S1,ALL,ALL,tram-c
VALLIER - LIBERATION,Mode non précisé,0.0,down,S1,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,Mode non précisé,0.0,down,S1,ALL,ALL,tram-c
VALLIER - CATANE,Mode non précisé,0.0,down,S1,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,Mode non précisé,0.0,down,S1,ALL,ALL,tram-c
FAUCONNIERE,Mode non précisé,0.0,down,S1,ALL,ALL,tram-c
