up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
NOTRE-DAME - MUSEE,MAYENCIN - CHAMP ROMAN,6.2425145576,ALL,ALL,ALL,tram-b
SAINTE-CLAIRE - LES HALLES,MAYENCIN - CHAMP ROMAN,35.4513593029,ALL,ALL,ALL,tram-b
HUBERT DUBEDOUT - MAISON DU TOURISME,MAYENCIN - CHAMP ROMAN,16.2525475941,ALL,ALL,ALL,tram-b
VICTOR HUGO,MAYENCIN - CHAMP ROMAN,56.0214306396,ALL,ALL,ALL,tram-b
ALSACE-LORRAINE,MAYENCIN - CHAMP ROMAN,18.5051707261,ALL,ALL,ALL,tram-b
GARES,MAYENCIN - CHAMP ROMAN,36.0813931586,ALL,ALL,ALL,tram-b
SAINT-BRUNO (TRAM),MAYENCIN - CHAMP ROMAN,36.3471584324,ALL,ALL,ALL,tram-b
PALAIS DE JUSTICE,MAYENCIN - CHAMP ROMAN,17.6799485443,ALL,ALL,ALL,tram-b
CITE INTERNATIONALE,MAYENCIN - CHAMP ROMAN,0.0,ALL,ALL,ALL,tram-b
CEA - CAMBRIDGE,MAYENCIN - CHAMP ROMAN,11.3147210241,ALL,ALL,ALL,tram-b
PRESQU'ILE,MAYENCIN - CHAMP ROMAN,4.8970133957,ALL,ALL,ALL,tram-b
PLAINE DES SPORTS,CEA - CAMBRIDGE,1.3913703043,ALL,ALL,ALL,tram-b
GIERES GARE - UNIVERSITES (TRAM),CEA - CAMBRIDGE,17.5195302581,ALL,ALL,ALL,tram-b
MAYENCIN - CHAMP ROMAN,CEA - CAMBRIDGE,12.4270578377,ALL,ALL,ALL,tram-b
CONDILLAC - UNIVERSITES,CEA - CAMBRIDGE,41.2653844286,ALL,ALL,ALL,tram-b
BIBLIOTHEQUES UNIVERSITAIRES,CEA - CAMBRIDGE,50.19936494490001,ALL,ALL,ALL,tram-b
GABRIEL FAURE,CEA - CAMBRIDGE,78.91623912440001,ALL,ALL,ALL,tram-b
LES TAILLEES - UNIVERSITES,CEA - CAMBRIDGE,111.20590919450004,ALL,ALL,ALL,tram-b
GRAND SABLON,CEA - CAMBRIDGE,50.904131925,ALL,ALL,ALL,tram-b
MICHALLON,CEA - CAMBRIDGE,20.9764002941,ALL,ALL,ALL,tram-b
LA TRONCHE HOPITAL,CEA - CAMBRIDGE,32.7104889108,ALL,ALL,ALL,tram-b
ILE VERTE,CEA - CAMBRIDGE,29.0361286992,ALL,ALL,ALL,tram-b
NOTRE-DAME - MUSEE,CEA - CAMBRIDGE,77.29680458009999,ALL,ALL,ALL,tram-b
SAINTE-CLAIRE - LES HALLES,CEA - CAMBRIDGE,61.736127198999995,ALL,ALL,ALL,tram-b
HUBERT DUBEDOUT - MAISON DU TOURISME,CEA - CAMBRIDGE,274.92412868570005,ALL,ALL,ALL,tram-b
VICTOR HUGO,CEA - CAMBRIDGE,311.3131861862,ALL,ALL,ALL,tram-b
ALSACE-LORRAINE,CEA - CAMBRIDGE,297.17225580620004,ALL,ALL,ALL,tram-b
GARES,CEA - CAMBRIDGE,324.3131886796002,ALL,ALL,ALL,tram-b
SAINT-BRUNO (TRAM),CEA - CAMBRIDGE,465.5577593433,ALL,ALL,ALL,tram-b
PALAIS DE JUSTICE,CEA - CAMBRIDGE,353.0834376723999,ALL,ALL,ALL,tram-b
CITE INTERNATIONALE,CEA - CAMBRIDGE,202.81555185879995,ALL,ALL,ALL,tram-b
PRESQU'ILE,CEA - CAMBRIDGE,28.748623919499998,ALL,ALL,ALL,tram-b
PLAINE DES SPORTS,BIBLIOTHEQUES UNIVERSITAIRES,91.7208044972,ALL,ALL,ALL,tram-b
GIERES GARE - UNIVERSITES (TRAM),BIBLIOTHEQUES UNIVERSITAIRES,478.68012171350017,ALL,ALL,ALL,tram-b
MAYENCIN - CHAMP ROMAN,BIBLIOTHEQUES UNIVERSITAIRES,99.15175239430003,ALL,ALL,ALL,tram-b
CONDILLAC - UNIVERSITES,BIBLIOTHEQUES UNIVERSITAIRES,93.8837156575,ALL,ALL,ALL,tram-b
GABRIEL FAURE,BIBLIOTHEQUES UNIVERSITAIRES,149.0342068598,ALL,ALL,ALL,tram-b
LES TAILLEES - UNIVERSITES,BIBLIOTHEQUES UNIVERSITAIRES,645.0191453136001,ALL,ALL,ALL,tram-b
GRAND SABLON,BIBLIOTHEQUES UNIVERSITAIRES,488.4304795416001,ALL,ALL,ALL,tram-b
MICHALLON,BIBLIOTHEQUES UNIVERSITAIRES,177.2824921728,ALL,ALL,ALL,tram-b
LA TRONCHE HOPITAL,BIBLIOTHEQUES UNIVERSITAIRES,289.5686212535,ALL,ALL,ALL,tram-b
ILE VERTE,BIBLIOTHEQUES UNIVERSITAIRES,422.8985491044999,ALL,ALL,ALL,tram-b
NOTRE-DAME - MUSEE,BIBLIOTHEQUES UNIVERSITAIRES,682.2699861511006,ALL,ALL,ALL,tram-b
SAINTE-CLAIRE - LES HALLES,BIBLIOTHEQUES UNIVERSITAIRES,403.6127370678,ALL,ALL,ALL,tram-b
HUBERT DUBEDOUT - MAISON DU TOURISME,BIBLIOTHEQUES UNIVERSITAIRES,826.3001623866976,ALL,ALL,ALL,tram-b
VICTOR HUGO,BIBLIOTHEQUES UNIVERSITAIRES,671.1146994521013,ALL,ALL,ALL,tram-b
ALSACE-LORRAINE,BIBLIOTHEQUES UNIVERSITAIRES,1097.2926238391992,ALL,ALL,ALL,tram-b
GARES,BIBLIOTHEQUES UNIVERSITAIRES,568.5896288915994,ALL,ALL,ALL,tram-b
SAINT-BRUNO (TRAM),BIBLIOTHEQUES UNIVERSITAIRES,791.9204618692012,ALL,ALL,ALL,tram-b
PALAIS DE JUSTICE,BIBLIOTHEQUES UNIVERSITAIRES,211.2162915977001,ALL,ALL,ALL,tram-b
CITE INTERNATIONALE,BIBLIOTHEQUES UNIVERSITAIRES,141.47914866769995,ALL,ALL,ALL,tram-b
CEA - CAMBRIDGE,BIBLIOTHEQUES UNIVERSITAIRES,129.2486142481,ALL,ALL,ALL,tram-b
PRESQU'ILE,BIBLIOTHEQUES UNIVERSITAIRES,55.2995295784,ALL,ALL,ALL,tram-b
PLAINE DES SPORTS,HUBERT DUBEDOUT - MAISON DU TOURISME,51.19130596709999,ALL,ALL,ALL,tram-b
GIERES GARE - UNIVERSITES (TRAM),HUBERT DUBEDOUT - MAISON DU TOURISME,123.48469402720005,ALL,ALL,ALL,tram-b
MAYENCIN - CHAMP ROMAN,HUBERT DUBEDOUT - MAISON DU TOURISME,40.1316039882,ALL,ALL,ALL,tram-b
