up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
PERI - BROSSOLETTE,GRAND PRE,14.830533215700001,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,GRAND PRE,6.8175623445,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),GRAND PRE,42.1126777458,ALL,ALL,ALL,tram-c
CHAVANT,GRAND PRE,248.52821817220007,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,GRAND PRE,104.50367152740003,ALL,ALL,ALL,tram-c
FOCH - FERRIE,GRAND PRE,96.56837024880002,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,GRAND PRE,223.09957771779995,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,GRAND PRE,57.05388371880001,ALL,ALL,ALL,tram-c
VALLIER - CATANE,GRAND PRE,42.2611533931,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,GRAND PRE,45.312653368499994,ALL,ALL,ALL,tram-c
FAUCONNIERE,GRAND PRE,45.71619430529999,ALL,ALL,ALL,tram-c
MAS DES ILES,GRAND PRE,22.4890700706,ALL,ALL,ALL,tram-c
LE PRISME,GRAND PRE,41.2681543949,ALL,ALL,ALL,tram-c
CONDILLAC - UNIVERSITES,PERI - BROSSOLETTE,104.32437129609995,ALL,ALL,ALL,tram-c
BIBLIOTHEQUES UNIVERSITAIRES,PERI - BROSSOLETTE,195.75084088150018,ALL,ALL,ALL,tram-c
GABRIEL FAURE,PERI - BROSSOLETTE,152.38269692850002,ALL,ALL,ALL,tram-c
HECTOR BERLIOZ - UNIVERSITES,PERI - BROSSOLETTE,56.01669516450001,ALL,ALL,ALL,tram-c
NEYRPIC - BELLEDONNE,PERI - BROSSOLETTE,50.315385934599995,ALL,ALL,ALL,tram-c
FLANDRIN - VALMY,PERI - BROSSOLETTE,2.3505004089,ALL,ALL,ALL,tram-c
HOTEL DE VILLE (GRENOBLE),PERI - BROSSOLETTE,55.11470526019999,ALL,ALL,ALL,tram-c
CHAVANT,PERI - BROSSOLETTE,284.96686700160006,ALL,ALL,ALL,tram-c
GUSTAVE RIVET,PERI - BROSSOLETTE,53.114033947900005,ALL,ALL,ALL,tram-c
FOCH - FERRIE,PERI - BROSSOLETTE,91.80810125570002,ALL,ALL,ALL,tram-c
VALLIER - LIBERATION,PERI - BROSSOLETTE,121.97923723719992,ALL,ALL,ALL,tram-c
VALLIER - DOCTEUR CALMETTE,PERI - BROSSOLETTE,41.1311471572,ALL,ALL,ALL,tram-c
VALLIER - CATANE,PERI - BROSSOLETTE,27.142206888599997,ALL,ALL,ALL,tram-c
SEYSSINET-PARISET HOTEL DE VILLE,PERI - BROSSOLETTE,24.2307226345,ALL,ALL,ALL,tram-c
FAUCONNIERE,PERI - BROSSOLETTE,7.374145074199999,ALL,ALL,ALL,tram-c
