up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
RUE PASTEUR,RUE DES ALPES,13.0467075113,ALL,ALL,ALL,ligne-19
CURIE - VERCORS,RUE DES ALPES,6.4196204492,ALL,ALL,ALL,ligne-19
LOUIS MAISONNAT,RUE DES ALPES,21.4979425717,ALL,ALL,ALL,ligne-19
ARISTIDE BERGES,RUE DES ALPES,9.998734975499998,ALL,ALL,ALL,ligne-19
BOUCHAYER HOTEL DE VILLE,RUE DES ALPES,2.2726571025,ALL,ALL,ALL,ligne-19
MURAILLES,RUE DES ALPES,0.7575523675,ALL,ALL,ALL,ligne-19
BELVEDERE,RUE DES ALPES,0.0,ALL,ALL,ALL,ligne-19
CENTRE-VILLAGE,RUE DES ALPES,0.0,ALL,ALL,ALL,ligne-19
VILLAGE (SEYSSINET-PARISET),RUE DES ALPES,0.0,ALL,ALL,ALL,ligne-19
L'OVALIE,CENTRE-VILLAGE,0.0,ALL,ALL,ALL,ligne-19
LE GUA,CENTRE-VILLAGE,0.0,ALL,ALL,ALL,ligne-19
PLACE DE LA LIBERATION,CENTRE-VILLAGE,0.0,ALL,ALL,ALL,ligne-19
TREFFORINE,CENTRE-VILLAGE,0.0,ALL,ALL,ALL,ligne-19
PRE FLEURY,CENTRE-VILLAGE,0.0,ALL,ALL,ALL,ligne-19
LES PIES,CENTRE-VILLAGE,0.0,ALL,ALL,ALL,ligne-19
LA POYA,CENTRE-VILLAGE,0.0,ALL,ALL,ALL,ligne-19
GERARD PHILIPE,CENTRE-VILLAGE,0.0,ALL,ALL,ALL,ligne-19
RUE DES ALPES,CENTRE-VILLAGE,0.0,ALL,ALL,ALL,ligne-19
MARAT,CENTRE-VILLAGE,0.0,ALL,ALL,ALL,ligne-19
LES ECRINS,CENTRE-VILLAGE,0.0,ALL,ALL,ALL,ligne-19
JULES GUESDE,CENTRE-VILLAGE,0.0,ALL,ALL,ALL,ligne-19
PLACE DU MARCHE CACHIN,CENTRE-VILLAGE,0.0,ALL,ALL,ALL,ligne-19
RUE PASTEUR,CENTRE-VILLAGE,0.0,ALL,ALL,ALL,ligne-19
CURIE - VERCORS,CENTRE-VILLAGE,0.0,ALL,ALL,ALL,ligne-19
LOUIS MAISONNAT,CENTRE-VILLAGE,9.7619857144,ALL,ALL,ALL,ligne-19
ARISTIDE BERGES,CENTRE-VILLAGE,16.8846888158,ALL,ALL,ALL,ligne-19
BOUCHAYER HOTEL DE VILLE,CENTRE-VILLAGE,6.5864,ALL,ALL,ALL,ligne-19
MURAILLES,CENTRE-VILLAGE,0.0,ALL,ALL,ALL,ligne-19
BELVEDERE,CENTRE-VILLAGE,8.200068,ALL,ALL,ALL,ligne-19
VILLAGE (SEYSSINET-PARISET),CENTRE-VILLAGE,0.0,ALL,ALL,ALL,ligne-19
L'OVALIE,GERARD PHILIPE,1.1791780645,ALL,ALL,ALL,ligne-19
LE GUA,GERARD PHILIPE,0.0,ALL,ALL,ALL,ligne-19
PLACE DE LA LIBERATION,GERARD PHILIPE,0.0,ALL,ALL,ALL,ligne-19
TREFFORINE,GERARD PHILIPE,0.0,ALL,ALL,ALL,ligne-19
PRE FLEURY,GERARD PHILIPE,0.0,ALL,ALL,ALL,ligne-19
LES PIES,GERARD PHILIPE,5.2869210811,ALL,ALL,ALL,ligne-19
LA POYA,GERARD PHILIPE,3.524614054,ALL,ALL,ALL,ligne-19
RUE DES ALPES,GERARD PHILIPE,0.0,ALL,ALL,ALL,ligne-19
MARAT,GERARD PHILIPE,0.0,ALL,ALL,ALL,ligne-19
LES ECRINS,GERARD PHILIPE,0.0,ALL,ALL,ALL,ligne-19
JULES GUESDE,GERARD PHILIPE,2.3287628571,ALL,ALL,ALL,ligne-19
PLACE DU MARCHE CACHIN,GERARD PHILIPE,4.2736062935,ALL,ALL,ALL,ligne-19
RUE PASTEUR,GERARD PHILIPE,1.515104735,ALL,ALL,ALL,ligne-19
CURIE - VERCORS,GERARD PHILIPE,0.0,ALL,ALL,ALL,ligne-19
LOUIS MAISONNAT,GERARD PHILIPE,12.3571354812,ALL,ALL,ALL,ligne-19
ARISTIDE BERGES,GERARD PHILIPE,1.6348385714,ALL,ALL,ALL,ligne-19
BOUCHAYER HOTEL DE VILLE,GERARD PHILIPE,2.2204931367,ALL,ALL,ALL,ligne-19
MURAILLES,GERARD PHILIPE,0.0,ALL,ALL,ALL,ligne-19
BELVEDERE,GERARD PHILIPE,0.0,ALL,ALL,ALL,ligne-19
CENTRE-VILLAGE,GERARD PHILIPE,0.0,ALL,ALL,ALL,ligne-19
VILLAGE (SEYSSINET-PARISET),GERARD PHILIPE,0.0,ALL,ALL,ALL,ligne-19
LE GUA,L'OVALIE,0.0,ALL,ALL,ALL,ligne-19
PLACE DE LA LIBERATION,L'OVALIE,9.9893733333,ALL,ALL,ALL,ligne-19
TREFFORINE,L'OVALIE,1.4270533333,ALL,ALL,ALL,ligne-19
PRE FLEURY,L'OVALIE,11.2490661393,ALL,ALL,ALL,ligne-19
LES PIES,L'OVALIE,10.2717897709,ALL,ALL,ALL,ligne-19
LA POYA,L'OVALIE,76.77724161890002,ALL,ALL,ALL,ligne-19
GERARD PHILIPE,L'OVALIE,1.5025225,ALL,ALL,ALL,ligne-19
RUE DES ALPES,L'OVALIE,1.5109976471,ALL,ALL,ALL,ligne-19
MARAT,L'OVALIE,2.4661723713,ALL,ALL,ALL,ligne-19
LES ECRINS,L'OVALIE,0.0,ALL,ALL,ALL,ligne-19
JULES GUESDE,L'OVALIE,0.0,ALL,ALL,ALL,ligne-19
PLACE DU MARCHE CACHIN,L'OVALIE,3.309666,ALL,ALL,ALL,ligne-19
RUE PASTEUR,L'OVALIE,2.3287628571,ALL,ALL,ALL,ligne-19
CURIE - VERCORS,L'OVALIE,2.6269536541000003,ALL,ALL,ALL,ligne-19
LOUIS MAISONNAT,L'OVALIE,11.350549812699999,ALL,ALL,ALL,ligne-19
ARISTIDE BERGES,L'OVALIE,17.7181069654,ALL,ALL,ALL,ligne-19
BOUCHAYER HOTEL DE VILLE,L'OVALIE,4.5457792182,ALL,ALL,ALL,ligne-19
MURAILLES,L'OVALIE,1.7171685714,ALL,ALL,ALL,ligne-19
BELVEDERE,L'OVALIE,0.0,ALL,ALL,ALL,ligne-19
CENTRE-VILLAGE,L'OVALIE,0.0,ALL,ALL,ALL,ligne-19
VILLAGE (SEYSSINET-PARISET),L'OVALIE,0.0,ALL,ALL,ALL,ligne-19
L'OVALIE,LOUIS MAISONNAT,1.193785,ALL,ALL,ALL,ligne-19
LE GUA,LOUIS MAISONNAT,6.6135417583,ALL,ALL,ALL,ligne-19
PLACE DE LA LIBERATION,LOUIS MAISONNAT,1.1791780645,ALL,ALL,ALL,ligne-19
TREFFORINE,LOUIS MAISONNAT,0.0,ALL,ALL,ALL,ligne-19
PRE FLEURY,LOUIS MAISONNAT,1.1791780645,ALL,ALL,ALL,ligne-19
LES PIES,LOUIS MAISONNAT,1.2605006897,ALL,ALL,ALL,ligne-19
LA POYA,LOUIS MAISONNAT,5.8101457143,ALL,ALL,ALL,ligne-19
GERARD PHILIPE,LOUIS MAISONNAT,10.6080024004,ALL,ALL,ALL,ligne-19
RUE DES ALPES,LOUIS MAISONNAT,21.891384429600002,ALL,ALL,ALL,ligne-19
MARAT,LOUIS MAISONNAT,25.2120729623,ALL,ALL,ALL,ligne-19
LES ECRINS,LOUIS MAISONNAT,10.6860981737,ALL,ALL,ALL,ligne-19
JULES GUESDE,LOUIS MAISONNAT,22.915331801199997,ALL,ALL,ALL,ligne-19
PLACE DU MARCHE CACHIN,LOUIS MAISONNAT,39.1935116986,ALL,ALL,ALL,ligne-19
RUE PASTEUR,LOUIS MAISONNAT,7.6841333333,ALL,ALL,ALL,ligne-19
CURIE - VERCORS,LOUIS MAISONNAT,11.9418886191,ALL,ALL,ALL,ligne-19
