up_cluster_name,down_cluster_name,passengers_count,line_direction,timelaps,goal,line
DOCTEUR MARTIN,BAJATIERE,0.0,ALL,ALL,ALL,ligne-c4
VICTOR HUGO,BAJATIERE,48.33573641349999,ALL,ALL,ALL,ligne-c4
LE VERDERET,LES JAVAUX,0.9420083721,ALL,ALL,ALL,ligne-c4
LE BOURG (EYBENS),LES JAVAUX,0.0,ALL,ALL,ALL,ligne-c4
ODYSSEE,LES JAVAUX,3.95184,ALL,ALL,ALL,ligne-c4
VAL D'EYBENS,LES JAVAUX,8.200068000000002,ALL,ALL,ALL,ligne-c4
GENERAL DE GAULLE,LES JAVAUX,28.558875274100004,ALL,ALL,ALL,ligne-c4
MAISONS NEUVES,LES JAVAUX,20.4559866016,ALL,ALL,ALL,ligne-c4
JEAN RACINE,LES JAVAUX,0.0,ALL,ALL,ALL,ligne-c4
TEISSEIRE (GRENOBLE),LES JAVAUX,35.0322407946,ALL,ALL,ALL,ligne-c4
PAUL CLAUDEL,LES JAVAUX,18.5258643138,ALL,ALL,ALL,ligne-c4
PONSARD,LES JAVAUX,2.428735,ALL,ALL,ALL,ligne-c4
BAJATIERE,LES JAVAUX,5.4475016667,ALL,ALL,ALL,ligne-c4
MALLIFAUD,LES JAVAUX,7.286205,ALL,ALL,ALL,ligne-c4
DRIANT,LES JAVAUX,10.37358,ALL,ALL,ALL,ligne-c4
CHAVANT,LES JAVAUX,43.7876284688,ALL,ALL,ALL,ligne-c4
DOCTEUR MARTIN,LES JAVAUX,13.7703909828,ALL,ALL,ALL,ligne-c4
VICTOR HUGO,LES JAVAUX,42.963106745299996,ALL,ALL,ALL,ligne-c4
LE BOURG (EYBENS),LE VERDERET,0.0,ALL,ALL,ALL,ligne-c4
LES JAVAUX,LE VERDERET,8.650034382,ALL,ALL,ALL,ligne-c4
ODYSSEE,LE VERDERET,5.927759999999999,ALL,ALL,ALL,ligne-c4
VAL D'EYBENS,LE VERDERET,11.1618390543,ALL,ALL,ALL,ligne-c4
GENERAL DE GAULLE,LE VERDERET,23.2389605913,ALL,ALL,ALL,ligne-c4
MAISONS NEUVES,LE VERDERET,23.0941649601,ALL,ALL,ALL,ligne-c4
JEAN RACINE,LE VERDERET,2.4989576471,ALL,ALL,ALL,ligne-c4
TEISSEIRE (GRENOBLE),LE VERDERET,18.2209262532,ALL,ALL,ALL,ligne-c4
PAUL CLAUDEL,LE VERDERET,28.815500000100002,ALL,ALL,ALL,ligne-c4
PONSARD,LE VERDERET,22.0762334979,ALL,ALL,ALL,ligne-c4
BAJATIERE,LE VERDERET,10.8950033333,ALL,ALL,ALL,ligne-c4
MALLIFAUD,LE VERDERET,3.3680454545,ALL,ALL,ALL,ligne-c4
DRIANT,LE VERDERET,29.6888101234,ALL,ALL,ALL,ligne-c4
CHAVANT,LE VERDERET,81.71433691799996,ALL,ALL,ALL,ligne-c4
DOCTEUR MARTIN,LE VERDERET,39.1406749131,ALL,ALL,ALL,ligne-c4
VICTOR HUGO,LE VERDERET,140.9794638829001,ALL,ALL,ALL,ligne-c4
LE VERDERET,VAL D'EYBENS,6.678499738599999,ALL,ALL,ALL,ligne-c4
LE BOURG (EYBENS),VAL D'EYBENS,12.8996012311,ALL,ALL,ALL,ligne-c4
LES JAVAUX,VAL D'EYBENS,9.4216020139,ALL,ALL,ALL,ligne-c4
ODYSSEE,VAL D'EYBENS,26.145867407,ALL,ALL,ALL,ligne-c4
GENERAL DE GAULLE,VAL D'EYBENS,6.6794686957,ALL,ALL,ALL,ligne-c4
MAISONS NEUVES,VAL D'EYBENS,6.271680394200001,ALL,ALL,ALL,ligne-c4
JEAN RACINE,VAL D'EYBENS,2.4989576471,ALL,ALL,ALL,ligne-c4
TEISSEIRE (GRENOBLE),VAL D'EYBENS,13.2057942534,ALL,ALL,ALL,ligne-c4
PAUL CLAUDEL,VAL D'EYBENS,2.1570771267,ALL,ALL,ALL,ligne-c4
PONSARD,VAL D'EYBENS,0.0,ALL,ALL,ALL,ligne-c4
BAJATIERE,VAL D'EYBENS,3.0187666667,ALL,ALL,ALL,ligne-c4
MALLIFAUD,VAL D'EYBENS,10.1041363635,ALL,ALL,ALL,ligne-c4
DRIANT,VAL D'EYBENS,3.3680454545,ALL,ALL,ALL,ligne-c4
CHAVANT,VAL D'EYBENS,61.1271516629,ALL,ALL,ALL,ligne-c4
DOCTEUR MARTIN,VAL D'EYBENS,2.3291891753,ALL,ALL,ALL,ligne-c4
VICTOR HUGO,VAL D'EYBENS,48.887175902100005,ALL,ALL,ALL,ligne-c4
LE VERDERET,CHAVANT,30.7860424731,ALL,ALL,ALL,ligne-c4
LE BOURG (EYBENS),CHAVANT,35.143326088799995,ALL,ALL,ALL,ligne-c4
LES JAVAUX,CHAVANT,37.0592917964,ALL,ALL,ALL,ligne-c4
ODYSSEE,CHAVANT,72.01174867370003,ALL,ALL,ALL,ligne-c4
VAL D'EYBENS,CHAVANT,47.758329919000005,ALL,ALL,ALL,ligne-c4
GENERAL DE GAULLE,CHAVANT,38.711484900900004,ALL,ALL,ALL,ligne-c4
MAISONS NEUVES,CHAVANT,93.00009429940002,ALL,ALL,ALL,ligne-c4
JEAN RACINE,CHAVANT,24.7193798557,ALL,ALL,ALL,ligne-c4
TEISSEIRE (GRENOBLE),CHAVANT,181.60834752350004,ALL,ALL,ALL,ligne-c4
PAUL CLAUDEL,CHAVANT,95.02368884609994,ALL,ALL,ALL,ligne-c4
PONSARD,CHAVANT,188.79863569009999,ALL,ALL,ALL,ligne-c4
BAJATIERE,CHAVANT,36.518768460500006,ALL,ALL,ALL,ligne-c4
MALLIFAUD,CHAVANT,32.1832886392,ALL,ALL,ALL,ligne-c4
DRIANT,CHAVANT,6.8084747375,ALL,ALL,ALL,ligne-c4
DOCTEUR MARTIN,CHAVANT,0.0,ALL,ALL,ALL,ligne-c4
VICTOR HUGO,CHAVANT,43.1888256293,ALL,ALL,ALL,ligne-c4
LE VERDERET,MALLIFAUD,5.4592001495,ALL,ALL,ALL,ligne-c4
LE BOURG (EYBENS),MALLIFAUD,3.0049195515,ALL,ALL,ALL,ligne-c4
LES JAVAUX,MALLIFAUD,1.8114415965,ALL,ALL,ALL,ligne-c4
