service_id,date,exception_type
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20211215,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220105,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220112,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220119,1
12*45-MFHLV10c_ST0_10_HI2122,20220110,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220126,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220202,1
12345-MSHLVH04_ST8_4_HI2122-MSHLVH05_ST8_5_HI2122-MSHLW04_ST11_4_HI2122-MSHLW05_ST11_5_HI2122,20220209,1
1234567-MSHSAH03_ST5_3_HI2122-MSHSAH05_ST5_5_HI2122-MSHSAH06_ST5_6_HI2122,20211227,1
1234567-MSHSAH03_ST5_3_HI2122-MSHSAH05_ST5_5_HI2122-MSHSAH06_ST5_6_HI2122,20211228,1
1234567-MSHSAH03_ST5_3_HI2122-MSHSAH05_ST5_5_HI2122-MSHSAH06_ST5_6_HI2122,20211229,1
1234567-MSHSAH03_ST5_3_HI2122-MSHSAH05_ST5_5_HI2122-MSHSAH06_ST5_6_HI2122,20211230,1
1234567-MSHSAH03_ST5_3_HI2122-MSHSAH05_ST5_5_HI2122-MSHSAH06_ST5_6_HI2122,20211211,1
1234567-MSHSAH03_ST5_3_HI2122-MSHSAH05_ST5_5_HI2122-MSHSAH06_ST5_6_HI2122,20211218,1
1234567-MSHSAH03_ST5_3_HI2122-MSHSAH05_ST5_5_HI2122-MSHSAH06_ST5_6_HI2122,20220108,1
1234567-MSHSAH03_ST5_3_HI2122-MSHSAH05_ST5_5_HI2122-MSHSAH06_ST5_6_HI2122,20220115,1
1234567-MSHSAH03_ST5_3_HI2122-MSHSAH05_ST5_5_HI2122-MSHSAH06_ST5_6_HI2122,20220122,1
1234567-MSHSAH03_ST5_3_HI2122-MSHSAH05_ST5_5_HI2122-MSHSAH06_ST5_6_HI2122,20220129,1
1234567-MSHSAH03_ST5_3_HI2122-MSHSAH05_ST5_5_HI2122-MSHSAH06_ST5_6_HI2122,20220205,1
1234567-MSHSAH03_ST5_3_HI2122-MSHSAH05_ST5_5_HI2122-MSHSAH06_ST5_6_HI2122,20220212,1
1234567-MSHSAH03_ST5_3_HI2122-MSHSAH05_ST5_5_HI2122-MSHSAH06_ST5_6_HI2122,20211231,1
1234567-MSHDF02_ST6_2_HI2122,20211212,1
1234567-MSHDF02_ST6_2_HI2122,20211219,1
1234567-MSHDF02_ST6_2_HI2122,20211225,1
1234567-MSHDF02_ST6_2_HI2122,20211226,1
1234567-MSHDF02_ST6_2_HI2122,20220101,1
1234567-MSHDF02_ST6_2_HI2122,20220102,1
1234567-MSHDF02_ST6_2_HI2122,20220109,1
1234567-MSHDF02_ST6_2_HI2122,20220116,1
1234567-MSHDF02_ST6_2_HI2122,20220123,1
1234567-MSHDF02_ST6_2_HI2122,20220130,1
1234567-MSHDF02_ST6_2_HI2122,20220206,1
1234567-MSHDF02_ST6_2_HI2122,20220213,1
1234567-MSHSAH05_ST5_5_HI2122,20211211,1
1234567-MSHSAH05_ST5_5_HI2122,20211218,1
1234567-MSHSAH05_ST5_5_HI2122,20220108,1
1234567-MSHSAH05_ST5_5_HI2122,20220115,1
